no,qty,part,spec
1,1,Carriage,"3D print, ABS/ASA, 6 walls, 50%+ infill"
2,5,Reducer ring set,"3D print, ABS/ASA, 90 x 5 mm"
3,2,Linear shaft,"20 mm hardened, 191 mm (from kit)"
4,4,Pillow block,"SC20UU closed (from kit)"
5,4,Shaft support,"SK20 (from kit)"
6,1,Leadscrew,"T8 x 2 mm pitch, 300 mm stock cut to 286"
7,1,Leadscrew nut,"T8 flanged brass nut, 22 mm flange"
8,2,Bearing,"608 (8 x 22 x 7)"
9,2,Shaft collar,"8 mm bore, set-screw type"
10,1,Hex coupling nut,"3/8-24 steel, 9/16"" A/F x 1-1/8"""
11,2,Clamp bolt,"M5 x 40 socket head + nut"
12,16,Machine screw,"16x M5 x 25 + nuts (blocks), 4x M3 x 10 (nut flange)"
13,12,Wood screw,"#8 x 1-1/4"" flat head"
14,1,Table top,"2x 3/4"" birch ply laminated, 400 x 380 x 38"
15,1,Baseplate,"3/4"" Baltic birch, 253 x 145"
16,2,Side rail,"3/4"" Baltic birch, 145 x 210"
17,1,Trim router,"Bosch Colt PR20EVS (65 mm body)"
