no,qty,part,spec
1,1,Arm,"2x 3/4"" ply laminated, 250 x 275 x 38"
2,2,Shaft support,"SK20 (from kit)"
3,1,Pivot shaft,"20 mm hardened, 250 mm (from kit)"
4,2,Pillow block,"SC20UU (from kit)"
5,2,Shaft collar,"20 mm bore, set-screw type"
6,1,Leveling bolt,"M8 x 100 hex bolt, M8 insert, jam nut"
7,1,Guide-pin chuck,"3D print, ABS/ASA; M4 x 45 + nut"
8,2,Guide pin,"1/4"" drill rod, 75 mm"
9,1,Lid stay or magnet,"Hardware-store lid stay, or magnet + post"
10,1,Router table,"Existing + ring_align (1/4"" centre hole)"
